Ocean Transportation Intermediaries (OTI) List,
Federal Maritime Commission,
Org. No.,Lic. No.,Renewal,Name,Principal Address,Trade Name(s),Street Address 1,Street Address 2,City,State,Zip Code \ Postal Code,Country,Phone,Latitude,Longitude
030109,030109,9/30/2025 12:00:00 AM," ZIMEX GLT, INC.","5816 CORPORATE AVENUE SUITE 205 CYPRESS, CA 90630 UNITED STATES",N/A,5816 CORPORATE AVENUE,SUITE 205,CYPRESS,CA,90630,UNITED STATES,(714) 821-3052,33.81861,-118.0387
014703,004403,3/31/2025 12:00:00 AM,"'A' PACIFIC EXPRESS, ENTERPRISES","1900 TYLER AVENUE SUITE A SOUTH EL MONTE, CA 91733 UNITED STATES",N/A,1900 TYLER AVENUE,SUITE A,SOUTH EL MONTE,CA,91733,UNITED STATES,(626) 618-3888,34.05389,-118.0363
028704,028704,4/30/2025 12:00:00 AM,1UP CARGO,"777 S ALAMEDA ST 2ND FLOOR LOS ANGELES, CA 90021 UNITED STATES",N/A,777 S ALAMEDA ST,2ND FLOOR,LOS ANGELES,CA,90021,UNITED STATES,(800) 610-2161,34.0333,-118.2447
019354,019354,4/30/2024 12:00:00 AM,3PLUS LOGISTICS CO.,"19750 S. VERMONT AVE.  SUITE #112 TORRANCE, CA 90502 UNITED STATES",TOUCHDOWN FREIGHT CO.,19750 S. VERMONT AVE. ,SUITE #112,TORRANCE,CA,90502,UNITED STATES,(310) 846-5858,33.8479,-118.2184
015502,015502,2/28/2025 12:00:00 AM,"A G WORLD TRANSPORT, INC.","238 LAWRENCE AVENUE SOUTH SAN FRANCISCO, CA 94080 UNITED STATES",AIR & GROUND WORLD TRANSPORT,238 LAWRENCE AVENUE,,SOUTH SAN FRANCISCO,CA,94080,UNITED STATES,(650) 246-3737,37.64618,-122.4002
030067,030067,7/31/2024 12:00:00 AM,A. YUAN INTERNATIONAL INC,"1556 W. 226TH STREET TORRANCE, CA 90501 UNITED STATES",N/A,1556 W. 226TH STREET,,TORRANCE,CA,90501,UNITED STATES,(310) 310-1988,33.82682,-118.3118
028204,004088,8/31/2022 12:00:00 AM,"ABLE FREIGHT SERVICES, LLC","5340 WEST 104TH STREET LOS ANGELES, CA 90045 UNITED STATES",N/A,5340 WEST 104TH STREET,,LOS ANGELES,CA,90045,UNITED STATES,(310) 568-8883,33.96307,-118.3941
028649,028649,9/30/2024 12:00:00 AM,ABLS INC,"21048 FORBES AVE HAYWARD, CA 94545 UNITED STATES",N/A,21048 FORBES AVE,,HAYWARD,CA,94545,UNITED STATES,(909) 331-2668,37.63324,-122.0971
026097,026097,7/31/2022 12:00:00 AM,ABSLOGIX,"4591 LOCKHAVEN CIRCLE IRVINE, CA 92604 UNITED STATES",N/A,4591 LOCKHAVEN CIRCLE,,IRVINE,CA,92604,UNITED STATES,(949) 294-1142,33.6882,-117.7888
026212,026212,2/28/2023 12:00:00 AM,"ACCELERATORS WORLDWIDE SYSTEMS, LLC","9420 TELSTAR AVE. STE. 103  EL MONTE, CA 91731 UNITED STATES",N/A,9420 TELSTAR AVE.,STE. 103 ,EL MONTE,CA,91731,UNITED STATES,(626) 522-0201,34.07914,-118.0371
026757,026757,7/31/2024 12:00:00 AM,"ACE RELOCATION SYSTEMS, INC.","5608 EASTGATE DRIVE SAN DIEGO, CA 92121 UNITED STATES","ACE RELOCATION SYSTEMS, INC. WHICH WILL DO BUSINES, MILLS VAN LINES",5608 EASTGATE DRIVE,,SAN DIEGO,CA,92121,UNITED STATES,(858) 677-5500,32.8919,-117.2035
027106,027106,6/30/2025 12:00:00 AM,"ACROCARGO EXPRESS USA, INC.","15025 PROCTOR AVENUE SUITE 125 CITY OF INDUSTRY, CA 91744 UNITED STATES",N/A,15025 PROCTOR AVENUE,SUITE 125,CITY OF INDUSTRY,CA,91744,UNITED STATES,(626) 210-4727,34.02943,-117.9341
025810,025810,10/31/2023 12:00:00 AM,"ACS USA, LLC","11100 VALLEY BLVD. SUITE 216 EL MONTE, CA 91731 UNITED STATES",N/A,11100 VALLEY BLVD.,SUITE 216,EL MONTE,CA,91731,UNITED STATES,(626) 416-5656,34.07914,-118.0371
019943,019943,3/31/2024 12:00:00 AM,"ADP GLOBAL LOGISTICS, INC. (USA)","1140 CENTRE DRIVE UNIT R CITY OF INDUSTRY, CA 91789 UNITED STATES",N/A,1140 CENTRE DRIVE,UNIT R,CITY OF INDUSTRY,CA,91789,UNITED STATES,(310) 381-9599,33.99387,-117.8719
026817,025179,9/30/2022 12:00:00 AM,"ADVANCED SHIPPING, INC.","16301 CARMENITA ROAD CERRITOS, CA 90703 UNITED STATES",N/A,16301 CARMENITA ROAD,,CERRITOS,CA,90703,UNITED STATES,(562) 239-2131,33.85833,-118.0639
