Note,"Commission regulations permit non-US-based NVOCCs to be licensed or unlicensed (See 46 CFR 515.11, 46 CFR 515.21, also Ocean Transportation Intermediary FAQs available on the Commission website under the FAQ and Notices button). On this listing, unlicensed non-US-based NVOCCs are designated with ** in the License No. field. Licensed non-US-based NVOCCs are included in this list with their license number in the License No. field."
Federal Maritime Commission,
Ocean Transportation Intermediaries (OTI) List,
Org. No.,Lic. No.,Renewal,NAME,Principal Address,Trade Name(s),Street Address 1,Street Address 2,City,State,Zip Code \ Postal Code,Country,Phone,China Bond Rider Effective Date,Latitude,Longitude
030109,030109,9/30/2025 12:00:00 AM," ZIMEX GLT, INC.","5816 CORPORATE AVENUE SUITE 205 CYPRESS, CA 90630 UNITED STATES",N/A,5816 CORPORATE AVENUE,SUITE 205,CYPRESS,CA,90630,UNITED STATES,(714) 821-3052,,33.81861,-118.0387
023988,023988,8/31/2022 12:00:00 AM,101 SHIPPING INC,"747 SOUTH GLASGOW AVENUE SUITE C INGLEWOOD, CA 90301 UNITED STATES",N/A,747 SOUTH GLASGOW AVENUE,SUITE C,INGLEWOOD,CA,90301,UNITED STATES,424-750-9316,,33.78947,-118.3152
028704,028704,4/30/2025 12:00:00 AM,1UP CARGO,"777 S ALAMEDA ST 2ND FLOOR LOS ANGELES, CA 90021 UNITED STATES",N/A,777 S ALAMEDA ST,2ND FLOOR,LOS ANGELES,CA,90021,UNITED STATES,(800) 610-2161,,34.0333,-118.2447
019354,019354,4/30/2024 12:00:00 AM,3PLUS LOGISTICS CO.,"19750 S. VERMONT AVE.  SUITE #112 TORRANCE, CA 90502 UNITED STATES",TOUCHDOWN FREIGHT CO.,19750 S. VERMONT AVE. ,SUITE #112,TORRANCE,CA,90502,UNITED STATES,(310) 846-5858,3/7/2013 12:00:00 AM,33.8479,-118.2184
019339,019339,9/30/2023 12:00:00 AM,"4 A'S CARGO, INC.","20604 BELSHAW AVENUE CARSON, CA 90746 UNITED STATES",N/A,20604 BELSHAW AVENUE,,CARSON,CA,90746,UNITED STATES,(310) 847-1818,,33.74689,-118.2801
015502,015502,2/28/2025 12:00:00 AM,"A G WORLD TRANSPORT, INC.","238 LAWRENCE AVENUE SOUTH SAN FRANCISCO, CA 94080 UNITED STATES",AIR & GROUND WORLD TRANSPORT,238 LAWRENCE AVENUE,,SOUTH SAN FRANCISCO,CA,94080,UNITED STATES,(650) 246-3737,11/23/2012 12:00:00 AM,37.64618,-122.4002
022803,022803,3/31/2025 12:00:00 AM,A SHIPPING,"430 SOUTH GARFIELD AVENUE SUITE 403 ALHAMBRA, CA 91801 UNITED STATES",N/A,430 SOUTH GARFIELD AVENUE,SUITE 403,ALHAMBRA,CA,91801,UNITED STATES,(626)458-8800,,34.09034,-118.1231
030067,030067,7/31/2024 12:00:00 AM,A. YUAN INTERNATIONAL INC,"1556 W. 226TH STREET TORRANCE, CA 90501 UNITED STATES",N/A,1556 W. 226TH STREET,,TORRANCE,CA,90501,UNITED STATES,(310) 310-1988,,33.82682,-118.3118
017586,017586,6/30/2022 12:00:00 AM,A.S.L. SHIPPING LINES INC.,"5832 CAMELLIA AVENUE TEMPLE CITY, CA 91780 UNITED STATES",AMERICAN SHIPPING LINE,5832 CAMELLIA AVENUE,,TEMPLE CITY,CA,91780,UNITED STATES,(626) 293-1652,,34.07825,-118.1227
022663,022663,3/31/2024 12:00:00 AM,AA CARGO,"139 MITCHELL AVENUE SUITE 201 SOUTH SAN FRANCISCO, CA 94080 UNITED STATES",N/A,139 MITCHELL AVENUE,SUITE 201,SOUTH SAN FRANCISCO,CA,94080,UNITED STATES,(650) 244-9600,,37.64956,-122.4034
030280,030280,10/31/2025 12:00:00 AM,"AA FREIGHT SOLUTIONS, INC","731 N AZUSA AVE APT 23 WEST COVINA, CA 91791 UNITED STATES",N/A,731 N AZUSA AVE,APT 23,WEST COVINA,CA,91791,UNITED STATES,(626) 418-3541,,34.06527,-117.8978
028045,023275,5/31/2025 12:00:00 AM,ABC LOGISTICS FREIGHT FORWARDING CO,"320 COREY WAY SOUTH SAN FRANCISCO, CA 94080 UNITED STATES",N/A,320 COREY WAY,,SOUTH SAN FRANCISCO,CA,94080,UNITED STATES,(650) 588-1973,,37.65382,-122.4347
020861,020861,1/31/2024 12:00:00 AM,ABC SERVICE NETWORK,"242 CLARY AVENUE SAN GABRIEL, CA 91776 UNITED STATES",N/A,242 CLARY AVENUE,,SAN GABRIEL,CA,91776,UNITED STATES,(626)309-9253,,34.07846,-118.1189
017510,017510,10/31/2023 12:00:00 AM,ABCO INTERNATIONAL FREIGHT (USA) INC.,"9420 TELSTAR AVENUE SUITE 203 EL MONTE, CA 91731 UNITED STATES",ABCO LOGISTICS,9420 TELSTAR AVENUE,SUITE 203,EL MONTE,CA,91731,UNITED STATES,626-350-2289,11/23/2012 12:00:00 AM,34.06786,-118.0634
028204,004088,8/31/2022 12:00:00 AM,"ABLE FREIGHT SERVICES, LLC","5340 WEST 104TH STREET LOS ANGELES, CA 90045 UNITED STATES",N/A,5340 WEST 104TH STREET,,LOS ANGELES,CA,90045,UNITED STATES,(310) 568-8883,,33.96307,-118.3941
026097,026097,7/31/2022 12:00:00 AM,ABSLOGIX,"4591 LOCKHAVEN CIRCLE IRVINE, CA 92604 UNITED STATES",N/A,4591 LOCKHAVEN CIRCLE,,IRVINE,CA,92604,UNITED STATES,(949) 294-1142,,33.6882,-117.7888
027157,027157,7/31/2024 12:00:00 AM,ACA INTERNATIONAL (USA) INC.,"12900 SIMMS AVENUE HAWTHORNE, CA 90250 UNITED STATES",N/A,12900 SIMMS AVENUE,,HAWTHORNE,CA,90250,UNITED STATES,(424) 337-9201,,33.91322,-118.347
029889,029889,9/30/2025 12:00:00 AM,"ACCEL PLUS LOGISTICS, INC","15870 EL PRADO ROAD SUITE B CHINO, CA 91708 UNITED STATES",N/A,15870 EL PRADO ROAD,SUITE B,CHINO,CA,91708,UNITED STATES,(626) 779-2026,,34.01222,-117.6881
026212,026212,2/28/2023 12:00:00 AM,"ACCELERATORS WORLDWIDE SYSTEMS, LLC","9420 TELSTAR AVE. STE. 103  EL MONTE, CA 91731 UNITED STATES",N/A,9420 TELSTAR AVE.,STE. 103 ,EL MONTE,CA,91731,UNITED STATES,(626) 522-0201,,34.07914,-118.0371
024115,024115,5/31/2023 12:00:00 AM,ACCESS SUPPLY CHAIN SERVICES LLC,"105 HOBART AVE SAN MATEO, CA 94402 UNITED STATES",ACCESS SUPPLY CHAIN SERVICES,105 HOBART AVE,,SAN MATEO,CA,94402,UNITED STATES,650-477-2691,,37.56091,-122.3254
012463,012463,3/31/2024 12:00:00 AM,"ACCORD EXPORT LINES, INC.","501 CESAR CHAVEZ STE 212B SAN FRANCISCO, CA 94124 UNITED STATES",N/A,501 CESAR CHAVEZ,STE 212B,SAN FRANCISCO,CA,94124,UNITED STATES,4158210800,,37.75048,-122.3846
023699,023699,9/30/2022 12:00:00 AM,ACCURATE CARGO SERVICES,"10725 SPRINGDALE AVENUE SUITE 3 SANTA FE SPRINGS, CA 90670 UNITED STATES",N/A,10725 SPRINGDALE AVENUE,SUITE 3,SANTA FE SPRINGS,CA,90670,UNITED STATES,(323) 303-3400,,34.03415,-118.0906
028375,028375,5/31/2025 12:00:00 AM,"ACE GLOBAL LOGISTICS, INC.","15421 CARMENITA ROAD, SUITE J SANTA FE SPRINGS, CA 90670 UNITED STATES",N/A,"15421 CARMENITA ROAD, SUITE J",,SANTA FE SPRINGS,CA,90670,UNITED STATES,(562) 260-5967,,33.94641,-118.0838
030434,030434,4/30/2023 12:00:00 AM,ACETRANS LOGISTICS LIMITED,"2041 PACIFIC COAST HWY 2AB LOMITA, CA 90717 UNITED STATES",N/A,2041 PACIFIC COAST HWY,2AB,LOMITA,CA,90717,UNITED STATES,(310) 502-8537,,33.79334,-118.3169
024548,024548,8/31/2024 12:00:00 AM,"ACL AMERICA, INC.","200 E. ALONDRA BLVD. GARDENA, CA 90248 UNITED STATES",N/A,200 E. ALONDRA BLVD.,,GARDENA,CA,90248,UNITED STATES,(310) 329-2389,7/16/2014 12:00:00 AM,33.85482,-118.2805
020629,020629,9/30/2023 12:00:00 AM,ACME FREIGHT SERVICES CORP.,"550 EAST CARSON PLAZA DRIVE SUITE 201 CARSON, CA 90746 UNITED STATES",N/A,550 EAST CARSON PLAZA DRIVE,SUITE 201,CARSON,CA,90746,UNITED STATES,(310) 323-1228,,33.84374,-118.2648
020643,020643,3/31/2024 12:00:00 AM,ACON LOGISTICS SERVICES (USA) INC.,"713 WEST DUARTE ROAD UNIT G-869 ARCADIA, CA 91007 UNITED STATES",N/A,713 WEST DUARTE ROAD,UNIT G-869,ARCADIA,CA,91007,UNITED STATES,(626) 617-6959,,34.12597,-118.0559
019651,019651,1/31/2024 12:00:00 AM,"ACORN INTERNATIONAL FORWARDING, CO.","10680 WEST PICO BLVD. SUITE 210 LOS ANGELES, CA 90064 UNITED STATES",N/A,10680 WEST PICO BLVD.,SUITE 210,LOS ANGELES,CA,90064,UNITED STATES,310-559-1229,,33.87086,-118.3943
027106,027106,6/30/2025 12:00:00 AM,"ACROCARGO EXPRESS USA, INC.","15025 PROCTOR AVENUE SUITE 125 CITY OF INDUSTRY, CA 91744 UNITED STATES",N/A,15025 PROCTOR AVENUE,SUITE 125,CITY OF INDUSTRY,CA,91744,UNITED STATES,(626) 210-4727,,34.02943,-117.9341
025810,025810,10/31/2023 12:00:00 AM,"ACS USA, LLC","11100 VALLEY BLVD. SUITE 216 EL MONTE, CA 91731 UNITED STATES",N/A,11100 VALLEY BLVD.,SUITE 216,EL MONTE,CA,91731,UNITED STATES,(626) 416-5656,,34.07914,-118.0371
017829,016674,4/30/2025 12:00:00 AM,"ACTION FREIGHT INTERNATIONAL, INC.","16403 ISHIDA AVENUE CARSON, CA 90248 UNITED STATES",N/A,16403 ISHIDA AVENUE,,CARSON,CA,90248,UNITED STATES,(310) 856-0381,,33.88341,-118.2634
019943,019943,3/31/2024 12:00:00 AM,"ADP GLOBAL LOGISTICS, INC. (USA)","1140 CENTRE DRIVE UNIT R CITY OF INDUSTRY, CA 91789 UNITED STATES",N/A,1140 CENTRE DRIVE,UNIT R,CITY OF INDUSTRY,CA,91789,UNITED STATES,(310) 381-9599,,33.99387,-117.8719
026817,025179,9/30/2022 12:00:00 AM,"ADVANCED SHIPPING, INC.","16301 CARMENITA ROAD CERRITOS, CA 90703 UNITED STATES",N/A,16301 CARMENITA ROAD,,CERRITOS,CA,90703,UNITED STATES,(562) 239-2131,,33.85833,-118.0639
028075,028075,5/31/2025 12:00:00 AM,"ADVENTURE LOGISTIC, INC.","14241 E. FIRESTONE BLVD. SUITE 400 LA MIRADA, CA 90638 UNITED STATES",N/A,14241 E. FIRESTONE BLVD.,SUITE 400,LA MIRADA,CA,90638,UNITED STATES,(626) 454-9094,,33.90668,-118.0101
011335,011335,5/31/2023 12:00:00 AM,"AERONET, INC.","42 CORPORATE PARK SUITE 100 IRVINE, CA 92606-3103 UNITED STATES",AERONET WORLDWIDE,42 CORPORATE PARK,SUITE 100,IRVINE,CA,92606-3103,UNITED STATES,(949) 474-3000,,33.68921,-117.827
026515,026515,5/31/2023 12:00:00 AM,"AFFINITY SHIPPING (USA), INC.","556 NORTH DIAMOND BAR BLVD. SUITE 202 DIAMOND BAR, CA 91765 UNITED STATES",N/A,556 NORTH DIAMOND BAR BLVD.,SUITE 202,DIAMOND BAR,CA,91765,UNITED STATES,(909) 378-2888,,34.00658,-117.8098
025879,025879,9/30/2022 12:00:00 AM,"AGAPE SHIPPING NETWORK, INC.","17800 CASTLETON STREET SUITE 158 CITY OF INDUSTRY, CA 91748 UNITED STATES",N/A,17800 CASTLETON STREET SUITE 158,,CITY OF INDUSTRY,CA,91748,UNITED STATES,(626) 863-5555,,33.98178,-117.8969
023234,023234,4/30/2023 12:00:00 AM,AGEX INC.,"2646 APPIAN WAY, STE 19 PINOLE, CA 94564 UNITED STATES",N/A,"2646 APPIAN WAY, STE 19",,PINOLE,CA,94564,UNITED STATES,5109321344,,37.9817,-122.3536
016203,016203,3/31/2025 12:00:00 AM,AGI LOGISTICS (LOS ANGELES) INC.,"754 S. GLASGOW AVENUE INGLEWOOD, CA 90301 UNITED STATES",N/A,754 S. GLASGOW AVENUE,,INGLEWOOD,CA,90301,UNITED STATES,(310) 338-1188,8/8/2013 12:00:00 AM,33.95345,-118.3718
029064,029064,4/30/2024 12:00:00 AM,AGILE FORWARDING LLC,"2395 BATEMAN AVE IRWINDALE, CA 91010 UNITED STATES",N/A,2395 BATEMAN AVE,,IRWINDALE,CA,91010,UNITED STATES,(626) 348-9395,,34.13744,-117.967
021818,021818,8/31/2023 12:00:00 AM,"AGILOC INTERNATIONAL, INC.","100 NORTH HILL DRIVE SUITE 51 BRISBANE, CA 94005 UNITED STATES",N/A,100 NORTH HILL DRIVE,SUITE 51,BRISBANE,CA,94005,UNITED STATES,(415) 468-7108,,37.69063,-122.406
027547,027547,7/31/2024 12:00:00 AM,"AIC LOGISTICS, INC.","21901 BELSHIRE AVENUE HAWAIIAN GARDENS, CA 90716 UNITED STATES",N/A,21901 BELSHIRE AVENUE,,HAWAIIAN GARDENS,CA,90716,UNITED STATES,(213) 819-0772,,33.82958,-118.073
026829,026829,9/30/2023 12:00:00 AM,"AIF LAX, INC.","2666 E DEL AMO BLVD CARSON, CA 90221 UNITED STATES",ADVANCED INTERNATIONAL FREIGHT,2666 E DEL AMO BLVD,,CARSON,CA,90221,UNITED STATES,(310) 515-7040,,33.89732,-118.2037
028023,028023,3/31/2023 12:00:00 AM,AILIN & JASON C CORPORATION,"19400 SAN JOSE AVENUE CITY OF INDUSTRY, CA 91748 UNITED STATES",TSTONE LOGISTICS INC,19400 SAN JOSE AVENUE,,CITY OF INDUSTRY,CA,91748,UNITED STATES,(626) 589-0523,,33.98178,-117.8969
018632,018632,2/28/2023 12:00:00 AM,"AIMPACIFIC SERVICES, INC.","2081 BUSINESS CENTER DR.  SUITE 270 IRVINE, CA 92612 UNITED STATES",N/A,2081 BUSINESS CENTER DR. ,SUITE 270,IRVINE,CA,92612,UNITED STATES,(909) 468-2299,,34.05958,-118.1224
024909,024909,9/30/2022 12:00:00 AM,"AIR & SURFACE SYSTEMS, INC.","5151 CALIFORNIA AVE SUITE 100 IRVINE, CA 92617 UNITED STATES",AIR & SURFACE LOGISTICS,5151 CALIFORNIA AVE,SUITE 100,IRVINE,CA,92617,UNITED STATES,(714) 573-1207,,33.6422,-117.8459
008295,002724,4/30/2023 12:00:00 AM,"AIR 7 SEAS TRANSPORT LOGISTICS, INC.","1815 HOURET COURT MILPITAS, CA 95035 UNITED STATES",N/A,1815 HOURET COURT,,MILPITAS,CA,95035,UNITED STATES,(408) 957-8787,,37.4055,-121.8973
021335,021335,5/31/2023 12:00:00 AM,"AIR EAGLE LOGISTICS, INC.","1036 ALPINE COURT CHINO HILLS, CA 91709 UNITED STATES",N/A,1036 ALPINE COURT,,CHINO HILLS,CA,91709,UNITED STATES,(714) 985-0013,,33.96171,-117.782
