,SCAC,Consignee
0,OFOP,N/A
1,SNEA,CASTLEGATE TRADE SERVICES LLC
2,SNEA,FLEXPORT INTERNATIONAL LLC
3,SNEA,"KUEHNE + NAGEL, INC."
4,SNEA,YSN IMPORTS
5,SNEA,UPS OCEAN FREIGHT SERVICES INC
6,SNEA,FLEXPORT INTERNATIONAL  LLC
7,SNEA,CANADIAN SOLAR (USA) INC.
8,SNEA,SCHENKER INC
9,SNEA,FORMOSA CONTAINER LINE
10,SNEA,"TRANSCON SHIPPING CO., INC."
11,DEUC,VANTEC HITACHI TRANSPORT SYSTEM (US
12,ADXH,SHIPCO TRANSPORT INC.
13,ADXH,MB LOGISTICS INTERNATIONAL INC.
14,ADXH,WILLIAMS SONOMA SINGAPORE PTE LTD
15,ADXH,REJUVENATION INC
16,ADXH,SHIPCO TRANSPORT INC
17,ADXH,SCHENKER INC.
18,ADXH,POLARIS INDUSTRIES C O
19,ADXH,EXPEDITORS INTERNATIONAL OF WASHINGT
20,ADXH,YUSEN LOGISTICS AMERICAS INC.
21,ADXH,"CITY OCEAN INTERNATIONAL INC., (LOS"
22,ADXH,NORTH POLE STAR  S.DE R.L. DE C.V.
23,ADXH,EXPEDITORS INT'L OF WASHINGTON INC.
24,ADXH,CURRENT LIGHTINGSOLUTIONS
25,ADXH,"ULINE, INC."
26,ADXH,N/A
27,ADXH,POLARIS INDUSTRIES INC.
28,ADXH,FD SALES COMPANY LLC
29,ADXH,NIK TRANSPORT
30,ADXH,YAMAHA MOTOR CORPORATION  USA
31,ADXH,YAMAHA MOTOR CORP
32,MKMG,KERRY FREIGHT USA INC
33,GATI,TOYO TIRE U.S.A. CORPORATION
34,GATI,N/A
35,ZHTP,CH ROBINSON INTERNATIONAL INC
36,ZHTP,C.H. ROBINSON INTERNATIONAL INC.
37,ZHTP,TAP WORLDWIDE LLC
38,ZHTP,"ROHLIG USA, LLC"
39,ZHTP,"C.H. ROBINSON INTERNATIONAL,INC."
40,ZHTP,OEC FREIGHT (NY) INC
41,ZHTP,"C.H. ROBINSON INTERNATIONAL, INC."
42,ZHTP,C.H. ROBINSON INTERNATIONAL INC. (C
43,ZHTP,N/A
44,ZHTP,C.H. ROBINSON INTERNATIONAL INC
45,ZHTP,OEC GROUP
46,MCLQ,SH TRANSPORT INC
47,MCLQ,OEC SHIPPING LOS ANGELES INC
48,MCLQ,"ULTRA AIR CARGO, INC."
49,MCLQ,GLOBAL FREIGHT SERVICES USA LLC
50,MCLQ,N/A
51,MXDP,FD SALES COMPANY LLC
52,MXDP,EMSER TILE LLC
53,MXDP,VANTEC HITACHI TRANSPORT(USA) INC.
54,MXDP,SOUTH EAST WORLD WIDE LTD.
55,MXDP,N/A
56,MXDP,PEGASUS MARITIME
57,MXDP,ACROCARGO EXPRESS USA INC
58,HKTH,NNR GLOBAL LOGISTICS USA INC
59,HKTH,APEX LOGISTICS INTERNATIONAL ORD IN
60,GGEJ,CAPITAL FREIGHT MANAGEMENT INC.
61,GGEJ,JDY INTERNATIONAL INC
62,GGEJ,"SEAMAX FREIGHT INTERNATIONAL, INC"
63,GGEJ,IMMORTAL SERVICE INC.
64,GGEJ,N/A
65,GGEJ,APEX MARITIME CO.  INC.
