,SCAC,consignee
0,PARB,YAHEE TECHNOLOGIES CORP.
1,PARB,YAHEE TECHNOLOGIES CORP
2,PARB,"APEX MARITIME CO. (ORD), INC."
3,PARB,APEX LOGISTICS INTERNATIONAL (LAX)
4,PARB,INNOLUX USA INC
5,PARB,BEYOND SHIPPING COMPANY INCORPORATE
6,PARB,O.E.C. SHIPPING LOS ANGELES INC.
7,PARB,"HORIZON TIRE,INC"
8,PARB,TOPOCEAN CONSOLIDATION SERVICE
9,PARB,FALCONE GLOBAL SOLUTIONS  LLC
10,PARB,"FALCONE GLOBAL SOLUTIONS, LLC"
11,PARB,CUSTOM BLINDS AND COMPONENTS  INC.
12,PARB,WHOLESALE GLASS VASES INTERNATIONAL
13,PARB,APEX MARITIME CO. (LAX)  INC.
14,PARB,LGM USA INC
15,PARB,WHOLESALE GLASS VASES
16,PARB,BVL GROUP (USA) INC.
17,PARB,TOPEAKMART LTD
18,PARB,BASIC RECYCLING INCORPORATED
19,PARB,ELITE USA INC.
20,PARB,HORIZON TIRE INCORPORATED
21,PARB,CIL FREIGHT INC.
22,PARB,"STRAIGHT FORWARDING, INC."
23,PARB,WESHIP INC
24,PARB,OEC SHIPPING LOS ANGELES INC
25,PARB,SANITIZED
26,TSON,"TRANSLINK SHIPPING, INC."
27,TSON,GOLDLION TRADE INC.
28,TSON,UQI SHIPPING INC
29,TSON,US PACIFIC TRANSPORT INC (NYC)
30,TSON,GREAT WOLF EXPRESS INC.
31,TSON,HAI-WIND WORLDWIDE INC
32,ADXH,SHIPCO TRANSPORT INC
33,ADXH,"SUPERIOR BROKERAGE SERVICES, INC."
34,ADXH,ULINE INCORPORATED
35,ADXH,KESCO LOGISTICS INC
36,ADXH,POLARIS INDUSTRIES  INC.
37,ADXH,NEPTUNE SHIPPING LIMITED
38,ADXH,"YAMAHA MOTOR CORPORATION, USA"
39,ADXH,SEA TRADE INTERNATIONAL INCORPORATE
40,ADXH,SHIPCO TRANSPORT INC.
41,ADXH,SCHENKER INC
42,ADXH,FEDEX TRADE NETWORKS TRANSPORT  BRO
43,ADXH,PUDONG PRIME INTERNATIONAL LOGISTIC
44,ADXH,"COWIN SHIPPING CO., LTD"
